z_t0,u_t0,z_T4,u_T4,z_3T4,u_3T4
0.0,4474321.8884494845,0.0,3163823.34853403,0.0,-4474321.8884494845
0.04004004004004004,4433387.896191942,0.04004004004004004,3134878.6450276836,0.04004004004004004,-4433387.896191942
0.08008008008008008,4390677.056086523,0.08008008008008008,3104677.520358968,0.08008008008008008,-4390677.056086523
0.12012012012012012,4346206.48611751,0.12012012012012012,3073232.078770648,0.12012012012012012,-4346206.48611751
0.16016016016016016,4299994.009547472,0.16016016016016016,3040554.9232125496,0.16016016016016016,-4299994.009547472
0.20020020020020018,4252058.147773918,0.20020020020020018,3006659.150290448,0.20020020020020018,-4252058.147773918
0.24024024024024024,4202418.112906146,0.24024024024024024,2971558.34501711,0.24024024024024024,-4202418.112906146
0.2802802802802803,4151093.800065268,0.2802802802802803,2935266.5753675853,0.2802802802802803,-4151093.800065268
0.3203203203203203,4098105.7794104824,0.3203203203203203,2897798.386640934,0.3203203203203203,-4098105.7794104824
0.36036036036036034,4043475.2878948073,0.36036036036036034,2859168.7956306464,0.36036036036036034,-4043475.2878948073
0.40040040040040037,3987224.2207535696,0.40040040040040037,2819393.284606097,0.40040040040040037,-3987224.2207535696
0.44044044044044045,3929375.122729058,0.44044044044044045,2778487.7951074396,0.44044044044044045,-3929375.122729058
0.4804804804804805,3869951.179034869,0.4804804804804805,2736468.721556431,0.4804804804804805,-3869951.179034869
0.5205205205205206,3808976.2060635528,0.5205205205205206,2693352.904685747,0.5205205205205206,-3808976.2060635528
0.5605605605605606,3746474.6418412956,0.5605605605605606,2649157.6247894224,0.5605605605605606,-3746474.6418412956
0.6006006006006006,3682471.5362334545,0.6006006006006006,2603900.594797119,0.6006006006006006,-3682471.5362334545
0.6406406406406406,3616992.5409048786,0.6406406406406406,2557599.9531750004,0.6406406406406406,-3616992.5409048786
0.6806806806806807,3550063.899039032,0.6806806806806807,2510274.2566560544,0.6806806806806807,-3550063.899039032
0.7207207207207207,3481712.4348200485,0.7207207207207207,2461942.472802782,0.7207207207207207,-3481712.4348200485
0.7607607607607607,3411965.542681922,0.7607607607607607,2412623.9724052255,0.7607607607607607,-3411965.542681922
0.8008008008008007,3340851.1763291555,0.8008008008008007,2362338.5217174003,0.8008008008008007,-3340851.1763291555
0.8408408408408409,3268397.8375332523,0.8408408408408409,2311106.274535211,0.8408408408408409,-3268397.8375332523
0.8808808808808809,3194634.564709557,0.8808808808808809,2258947.764119062,0.8808808808808809,-3194634.564709557
0.9209209209209209,3119590.9212790113,0.9209209209209209,2205883.8949643783,0.9209209209209209,-3119590.9212790113
0.960960960960961,3043296.983819492,0.960960960960961,2151935.93442333,0.960960960960961,-3043296.983819492
1.001001001001001,2965783.3300114907,1.001001001001001,2097125.5041811455,1.001001001001001,-2965783.3300114907
1.0410410410410411,2887081.0263829483,1.0410410410410411,2041474.5715904008,1.0410410410410411,-2887081.0263829483
1.0810810810810811,2807221.61585817,1.0810810810810811,1985005.44086677,1.0810810810810811,-2807221.61585817
1.1211211211211212,2726237.1051158058,1.1211211211211212,1927740.744149769,1.1211211211211212,-2726237.1051158058
1.1611611611611612,2644159.951760963,1.1611611611611612,1869703.4324320715,1.1611611611611612,-2644159.951760963
1.2012012012012012,2561023.0513165956,1.2012012012012012,1810916.7663610282,1.2012012012012012,-2561023.0513165956
1.2412412412412412,2476859.7240393753,1.2412412412412412,1751404.3069160832,1.2412412412412412,-2476859.7240393753
1.2812812812812813,2391703.701565344,1.2812812812812813,1691189.9059658214,1.2812812812812813,-2391703.701565344
1.3213213213213213,2305589.113390682,1.3213213213213213,1630297.6967084308,1.3213213213213213,-2305589.113390682
1.3613613613613613,2218550.47319302,1.3613613613613613,1568752.0839994082,1.3613613613613613,-2218550.47319302
1.4014014014014013,2130622.6649987833,1.4014014014014013,1506577.7345703936,1.4014014014014013,-2130622.6649987833
1.4414414414414414,2041840.9292020935,1.4414414414414414,1443799.5671430416,1.4414414414414414,-2041840.9292020935
1.4814814814814814,1952240.848440851,1.4814814814814814,1380442.7424419047,1.4814814814814814,-1952240.848440851
1.5215215215215214,1861858.3333356464,1.5215215215215214,1316532.6531103193,1.5215215215215214,-1861858.3333356464
1.5615615615615615,1770729.6080972205,1.5615615615615615,1252094.9135333425,1.5615615615615615,-1770729.6080972205
1.6016016016016015,1678891.1960082438,1.6016016016016015,1187155.3495718224,1.6016016016016015,-1678891.1960082438
1.6416416416416417,1586379.904785229,1.6416416416416417,1121739.988211705,1.6416416416416417,-1586379.904785229
1.6816816816816818,1493232.811826446,1.6816816816816818,1055875.047132736,1.6816816816816818,-1493232.811826446
1.7217217217217218,1399487.249351754,1.7217217217217218,989586.9242007341,1.7217217217217218,-1399487.249351754
1.7617617617617618,1305180.7894403012,1.7617617617617618,922902.1868876484,1.7617617617617618,-1305180.7894403012
1.8018018018018018,1210351.2289720937,1.8018018018018018,855847.5616236392,1.8018018018018018,-1210351.2289720937
1.8418418418418419,1115036.5744794677,1.8418418418418419,788449.9230854504,1.8418418418418419,-1115036.5744794677
1.8818818818818819,1019275.0269145325,1.8818818818818819,720736.2834253667,1.8818818818818819,-1019275.0269145325
1.921921921921922,923104.9663386958,1.921921921921922,652733.7814450716,1.921921921921922,-923104.9663386958
1.961961961961962,826564.9365404027,1.961961961961962,584469.6717187472,1.961961961961962,-826564.9365404027
2.002002002002002,729693.6295872539,2.002002002002002,515971.313669772,2.002002002002002,-729693.6295872539
2.042042042042042,632529.8703186976,2.042042042042042,447266.16060539865,2.042042042042042,-632529.8703186976
